id,kind,obligation,quote,why_actionable,status,topic,source_id,doc,conflict_note
platform-supervision-committee-draft-draft-deadline,deadline,（征求意见稿）平台须自收到监督意见之日起10个工作日内处理监督委员会作出的监督意见。,大型网络平台服务提供者应当自收到监督意见之日起10个工作日内处理监督委员会作出的监督意见,合规官不得按此稿建制：该稿仅为2025年征求意见稿（意见截止2025年10月12日），已被2026-08-07新稿整合替代，内部制度应对标新稿（如定期会议由每3个月改为至少每6个月）。,draft_for_comment,audit,platform-supervision-committee-draft-draft-2025-09-12,01-法律法规体系.md,"本稿为2025-09-12《大型网络平台设立个人信息保护监督委员会规定(征求意见稿)》,意见截止2025-10-12,已被2026-08-07《大型个人信息处理者个人信息保护规定(征求意见稿)》整合替代(如定期会议由每3个月改为至少每6个月)。内部制度应对标新稿,不得按本稿建制。"
pi-export-certification-measures-2025-10-1-threshold,threshold,"认证路径的准入区间为:自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息(不含敏感个人信息),或者不满1万人敏感个人信息。",（二）自当年1月1日起累计向境外提供10万人以上、不满100万人个人信息（不含敏感个人信息）或者不满1万人敏感个人信息。,合规官需按自然年起算累计出境人数，落一个持续计数口径，人数一旦跨过100万/1万敏感即刻切换到安全评估申报，不能再用认证证书。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,"安评触发线由《促进和规范数据跨境流动规定》第七条、第八条规定,不在本办法内;本条不承载「超过即须安评」的结论。"
pi-export-certification-measures-2025-10-1-procedure,procedure,认证路径的另一前置条件是本企业不属于关键信息基础设施运营者，且出境数据不含重要数据。,（一）非关键信息基础设施运营者；,申请前必须先自查是否被认定为CIIO、出境数据是否含重要数据，任一命中则认证路径直接不可用，需改走安全评估。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,
pi-export-certification-measures-2025-10-1-procedure-2,procedure,禁止通过数量拆分等手段规避出境安全评估、改用认证方式出境。,不得采取数量拆分等手段，将依法应当通过出境安全评估的个人信息通过个人信息出境认证的方式向境外提供,合规官需禁止把一条出境业务拆成多主体/多批次以压到10万-100万区间，并在内部审批留痕证明未做拆分安排。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,
pi-export-certification-measures-2025-10-1-procedure-3,procedure,申请认证出境前必须先完成告知、取得个人单独同意，并按办法第六条六项内容做个人信息保护影响评估。,应当按照法律、行政法规的规定履行告知、取得个人单独同意、进行个人信息保护影响评估等义务,提交认证委托前需备齐单独同意的取得记录和一份覆盖六项评估要点（含境外接收方所在国法规影响）的PIA报告，否则受理即缺件。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,
pi-export-certification-measures-2025-10-1-deadline,deadline,认证证书有效期3年；需继续使用的必须在有效期届满前6个月提出认证申请。,认证证书的有效期为3年。证书到期需继续使用的，个人信息处理者应当在有效期届满前6个月提出认证申请。,合规日历需在证书到期日前6个月设置强提醒并启动续证委托，逾期将出现证书空窗、出境行为失去合法性基础。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,
pi-cert-institutions-2025-12-30-filing,filing,目前仅3家已完成备案的专业认证机构可受理个人信息出境认证申请：中国网络安全审查认证和市场监管大数据中心、中央网信办数据与技术保障中心、北京赛西认证有限责任公司。,中国网络安全审查认证和市场监管大数据中心、中央网信办（国家网信办）数据与技术保障中心、北京赛西认证有限责任公司3家机构,选机构时须核对是否在这份备案名单内，向名单外机构申请拿到的证书不构成合法出境依据；名单会随备案公示扩容，需定期复核。,in_force,cross_border,pi-cert-institutions-2025-12-30,04-数据跨境专题.md,
pi-cert-standard-change-2025-12-25-deadline,deadline,自2025年12月25日公告发布之日起，涉及跨境处理活动的个人信息保护认证依据标准变更为GB/T 35273与GB/T 46068。,涉及跨境处理活动的个人信息保护认证依据标准变更为GB/T 35273、GB/T 46068。,内控差距分析要从原TC260-PG-20222A《个人信息跨境处理活动安全认证规范》切换到GB/T 46068重新对标，旧版检查清单必须废止重编。,in_force,cross_border,pi-cert-standard-change-2025-12-25,02-国家标准与TC260实践指南.md,
pi-cert-standard-change-2025-12-25-procedure,procedure,《个人信息出境认证办法》为网信办与市场监管总局令第20号，是认证路径的现行上位依据。,《个人信息出境认证办法》（国家互联网信息办公室、国家市场监督管理总局令第20号）,对外文件、申报材料引用出境认证依据时须写明令第20号，避免仍引用2022年公告体系导致依据过时。,in_force,cross_border,pi-cert-standard-change-2025-12-25,01-法律法规体系.md,
pi-export-certification-measures-2025-10-1-procedure-4,procedure,《个人信息出境认证办法》自2026年1月1日起施行，且施行前不一致的规定一律按本办法执行。,本办法自2026年1月1日起施行,2026年1月1日为制度切换点，之前依据旧规则设计的认证方案需在该日前完成对新办法的合规复核。,in_force,cross_border,pi-export-certification-measures-2025-10-17,01-法律法规体系.md,
pi-export-certification-measures-2025-10-1-procedure-5,procedure,境外个人信息处理者申请出境认证，必须由其在境内设立的专门机构或指定代表协助提出申请。,中华人民共和国境外的个人信息处理者申请个人信息出境认证的，应当由其在境内设立的专门机构或者指定代表协助进行申请。,外资/离岸主体在提交申请前须先落地境内专门机构或书面指定代表并留存授权文件，否则无法受理。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,
pi-export-certification-measures-2025-10-1-penalty,penalty,实际出境情况与认证范围不一致等不再符合认证要求的，认证机构应暂停直至撤销证书，并在全国认证认可信息公共服务平台公布。,发现获证个人信息处理者存在个人信息出境情况与认证范围不一致等情形,需建立出境场景与证书认证范围的比对台账，新增接收方、新增数据类型或新增出境目的前先走变更，否则面临证书暂停撤销且被公开公示。,in_force,cross_border,pi-export-certification-measures-2025-10-17,04-数据跨境专题.md,
pi-certification-impl-rules-2022-11-18-procedure,procedure,证书有效期内处理者名称、注册地址或认证要求、认证范围发生变化的，须向认证机构提出变更委托。,若获得认证的个人信息处理者名称、注册地址，或认证要求、认证范围等发生变化时，认证委托人应当向认证机构提出变更委托。,公司更名、迁址、业务范围调整触发主动变更申报义务，并可能需重新技术验证/现场审核，须纳入法务变更流程的必检项。,in_force,cross_border,pi-certification-impl-rules-2022-11-18,04-数据跨境专题.md,
cross-border-assessment-guide-v3-2025-06-2-deadline,deadline,评估结果有效期届满、符合延期条件的，数据处理者须在有效期届满前60个工作日内向网信部门提出延长评估结果有效期申请。,可以在有效期届满前60个工作日内提出延长评估结果有效期申请,"第三版指南新增“延期”通道:合规官需在台账里为每份评估结果设置“到期前60个工作日”触发点,决定走延期申请而不是重新走全套申报,并按第三版材料清单准备延期材料。",in_force,cross_border,cross-border-assessment-guide-v3-2025-06-27,04-数据跨境专题.md,
qa-2022-07-07-threshold,threshold,"关键信息基础设施运营者、以及处理100万人以上个人信息的数据处理者向境外提供个人信息,必须申报数据出境安全评估。",关键信息基础设施运营者和处理100万人以上个人信息的数据处理者向境外提供个人信息,合规官需统计本方个人信息处理总人数是否越过100万人门槛、并确认自身是否被认定为CIIO;越线即从“标准合同备案”路径切换到强制安全评估申报。,superseded,cross_border,qa-2022-07-07,04-数据跨境专题.md,"《促进和规范数据跨境流动规定》(2024-03-22)第七条、第八条已重述安评触发线为「自当年1月1日起累计向境外提供100万人以上个人信息(不含敏感)或1万人以上敏感个人信息」,10万–100万区间改走标准合同或认证;该规定第十三条明定与令第11号、令第13号不一致的适用本规定。本条保留以标明演进,不得按旧口径执行。"
qa-2022-07-07-threshold-2,threshold,"自上年1月1日起累计向境外提供10万人个人信息、或1万人敏感个人信息的数据处理者,再向境外提供个人信息须申报安全评估。",自上年1月1日起累计向境外提供10万人个人信息或者1万人敏感个人信息的数据处理者向境外提供个人信息,"需要建立“自上年1月1日起”的累计出境人数计数器(普通10万/敏感1万两个计数口径),接近阈值时提前启动安全评估申报,而不是等触发后再补。",superseded,cross_border,qa-2022-07-07,04-数据跨境专题.md,"《促进和规范数据跨境流动规定》(2024-03-22)第七条、第八条已重述安评触发线为「自当年1月1日起累计向境外提供100万人以上个人信息(不含敏感)或1万人以上敏感个人信息」,10万–100万区间改走标准合同或认证;该规定第十三条明定与令第11号、令第13号不一致的适用本规定。本条保留以标明演进,不得按旧口径执行。"
qa-2023-02-24-deadline,deadline,"个人信息处理者应当在标准合同生效之日起10个工作日内向所在地省级网信部门备案,提交标准合同和个人信息保护影响评估报告。",个人信息处理者应当在标准合同生效之日起10个工作日内向所在地省级网信部门备案,"备案期限从“合同生效日”起算而非签署日:合同管理流程要记录生效日并在10个工作日内完成省级网信备案,同时提前备好PIA报告(两份材料缺一不可)。",in_force,cross_border,qa-2023-02-24,04-数据跨境专题.md,
qa-2023-02-24-threshold,threshold,走标准合同路径须同时满足四项条件:非CIIO、处理个人信息不满100万人、自上年1月1日起累计出境个人信息不满10万人、累计出境敏感个人信息不满1万人。,三是自上年1月1日起累计向境外提供个人信息不满10万人的；四是自上年1月1日起累计向境外提供敏感个人信息不满1万人的,"这是标准合同路径的准入天花板,合规官需按季度复核四项指标,任一项越线即必须改走安全评估申报,已备案的标准合同不能继续作为出境依据。",in_force,cross_border,qa-2023-02-24,04-数据跨境专题.md,
qa-2022-07-07-deadline,deadline,"通过数据出境安全评估的结果有效期为2年,自评估结果出具之日起计算。",通过数据出境安全评估的结果有效期为2年，自评估结果出具之日起计算,"合规台账须以“评估结果出具日”为锚点记录2年到期日,而非以申报日或批复送达日计算,否则到期提醒会整体偏移。",superseded,cross_border,qa-2022-07-07,04-数据跨境专题.md,"《促进和规范数据跨境流动规定》(2024-03-22)已将数据出境安全评估结果有效期由2年延长为3年,2026年7月官方政策问答口径为3年。本条保留以标明演进,不得按2年执行。"
qa-2022-07-07-deadline-2,deadline,"有效期届满仍需继续出境的,数据处理者应当在有效期届满60个工作日前重新申报评估。",数据处理者应当在有效期届满60个工作日前重新申报评估,"与第三版指南的“延期申请”并存但不同:合规官要在到期前60个工作日这一硬时点前,判断走重新申报还是走延期申请,逾期即出境活动失去合法依据。",in_force,cross_border,qa-2022-07-07,04-数据跨境专题.md,
qa-2022-07-07-deadline-3,deadline,"国家网信部门自收到申报材料之日起7个工作日内决定是否受理,自出具书面受理通知书之日起45个工作日内完成评估(复杂情形可延长)。",自收到申报材料之日起7个工作日内确定是否受理评估；自出具书面受理通知书之日起45个工作日内完成数据出境安全评估,"项目排期须按“7个工作日受理 + 45个工作日评估”倒推业务上线时间,并把可能的补正/延长计入缓冲,避免承诺客户不可能的出境上线日期。",in_force,cross_border,qa-2022-07-07,04-数据跨境专题.md,
qa-2023-02-24-filing,filing,"标准合同有效期内出现出境目的/范围/种类/敏感程度/方式/保存地点变化、延长境外保存期限、境外接收方所在国法规变化等情形的,应当重新开展影响评估、补充或重新订立标准合同并重新备案。",应当重新开展个人信息保护影响评估，补充或者重新订立标准合同，并履行备案手续,"需要设变更触发清单:新增出境字段、换境外接收方用途、延长境外留存期、接收方所在国立法变动,任一发生即启动重新备案流程,不能只做内部记录。",in_force,cross_border,qa-2023-02-24,04-数据跨境专题.md,
qa-2023-02-24-deadline-2,deadline,"《办法》施行前已开展、且不符合规定的个人信息出境活动,应当自施行之日起6个月内完成整改。",本办法施行前已经开展的个人信息出境活动，不符合本办法规定的，应当自本办法施行之日起6个月内完成整改,"存量出境场景不能沿用旧安排:合规官需盘点施行前已有的出境链路,在6个月过渡期内补签标准合同并完成备案或转走评估路径。",in_force,cross_border,qa-2023-02-24,04-数据跨境专题.md,
qa-2023-02-24-procedure,procedure,"禁止以数量拆分等手段,把依法应当通过出境安全评估的个人信息改用订立标准合同的方式出境。",不得采取数量拆分等手段，将依法应当通过出境安全评估的个人信息通过订立标准合同的方式向境外提供,"直接封堵“拆合同/拆主体/分批出境”的规避设计:方案评审时须核查是否存在人为拆分以压低人数口径,发现即整改并改走评估申报。",in_force,cross_border,qa-2023-02-24,04-数据跨境专题.md,
provincial-contacts-2023-11-03-filing,filing,"申报材料、备案材料由所在地省级网信部门接收,网信办已公布32家省级互联网信息办公室的办公地址与联系电话名单。",现将各地省级网信部门接收申报材料、备案材料的办公地址和联系电话公布如下,"提交前须按注册/经营所在地对照该名单确定受理机关(含新疆生产建设兵团网信办等32家),按公布地址与电话递交并核对完备性,避免投错受理口径。",in_force,general,provincial-contacts-2023-11-03,04-数据跨境专题.md,
dpo-reporting-2025-07-18-deadline,deadline,处理个人信息达到100万人的处理者，必须自达到该数量之日起30个工作日内完成个人信息保护负责人信息报送。,应当自数量达到之日起30个工作日内完成信息报送,"合规官需要建立""处理人数是否触及100万""的持续监测，并在触线当日启动30个工作日的报送倒计时台账。",in_force,audit,dpo-reporting-2025-07-18,06-数据分类分级与合规审计.md,
dpo-reporting-2025-07-18-deadline-2,deadline,公告发布前处理个人信息数量已达100万人的处理者，须在2025年8月29日前完成个人信息保护负责人信息报送（存量一次性截止日）。,应当在2025年8月29日前完成信息报送,存量企业有一个硬截止日，合规官需核查该日期前是否已报送；未报送即处于持续违规状态，应立即补报。,in_force,audit,dpo-reporting-2025-07-18,06-数据分类分级与合规审计.md,
dpo-reporting-2025-07-18-threshold,threshold,处理100万人以上个人信息的处理者，应当向所在地设区的市级网信部门（而非省级或国家级）履行个人信息保护负责人信息报送手续。,应当向所在地设区的市级网信部门履行个人信息保护负责人信息报送手续,"确定报送对象层级为""所在地设区的市级网信部门""，多地经营的企业需按注册/经营所在地分别确认主管机关。",in_force,audit,dpo-reporting-2025-07-18,06-数据分类分级与合规审计.md,
dpo-reporting-2025-07-18-deadline-3,deadline,已报送的个人信息保护负责人信息发生实质性变更的，应当自变更之日起30个工作日内办理信息变更手续。,应当在变更之日起30个工作日内办理信息变更手续,DPO 离职/换人/联系方式变更时触发30个工作日变更义务，需把该动作写进人事异动流程。,in_force,audit,dpo-reporting-2025-07-18,06-数据分类分级与合规审计.md,
minors-audit-reporting-2025-12-29-deadline,deadline,处理未成年人个人信息的处理者，应当于每年1月底前报送上一年度未成年人个人信息保护合规审计情况。,应当于每年1月底前报送上一年度未成年人个人信息保护合规审计情况,固定年度截止日：每年1月31日前必须完成上年度报送，需在合规日历中排期并倒推审计执行时间。,in_force,audit,minors-audit-reporting-2025-12-29,06-数据分类分级与合规审计.md,
minors-audit-reporting-2025-12-29-filing,filing,处理未成年人个人信息的处理者应当自行或委托专业机构每年开展一次未成年人个人信息保护合规审计，并向所在地设区的市级网信部门报送审计情况。,并向所在地设区的市级网信部门报送合规审计情况,"确认未成年人审计为""每年一次""的强制频率且报送对象为市级网信部门，不能等监管要求才做。",in_force,audit,minors-audit-reporting-2025-12-29,06-数据分类分级与合规审计.md,
dpo-reporting-2025-07-18-filing,filing,"个人信息保护负责人信息报送采用线上方式，通过""个人信息保护业务系统""（https://grxxbh.cacdtsc.cn）办理，也可从中国网信网""全国网信政务办事大厅""进入。",https://grxxbh.cacdtsc.cn,明确唯一线上报送渠道，合规官需提前注册账号并按系统首页《填报说明（第一版）》准备材料，不必线下跑窗口。,in_force,audit,dpo-reporting-2025-07-18,06-数据分类分级与合规审计.md,
minors-audit-reporting-2025-12-29-filing-2,filing,"未成年人个人信息保护合规审计情况同样通过""个人信息保护业务系统""线上报送，按系统首页的《未成年人个人信息保护合规审计情况报送系统填报说明（第一版）》提交材料。",未成年人个人信息保护合规审计情况报送工作采用线上方式,未成年人审计报送与 DPO 报送共用同一系统但填报说明不同，需分别下载对应版本填报说明准备材料。,in_force,audit,minors-audit-reporting-2025-12-29,06-数据分类分级与合规审计.md,
audit-certified-institutions-b2-2026-03-26-procedure,procedure,委托外部机构做个人信息保护合规审计时，应对照官方公布的认证机构名单核查——第二批共14家机构获得个人信息保护合规审计服务认证证书。,14家机构获个人信息保护合规审计服务认证证书,采购审计服务前必须核对供应商是否在两批认证名单内；名单具体机构名称在原文中以图片形式发布，纯文本存档未包含逐家名称。,in_force,audit,audit-certified-institutions-b2-2026-03-26,06-数据分类分级与合规审计.md,
audit-certified-institutions-b1-2025-10-21-procedure,procedure,第一批个人信息保护合规审计服务认证专业机构共13家，由中央网信办数据与技术保障中心、中国网络安全审查认证和市场监管大数据中心、北京赛西认证有限责任公司联合发布。,13家机构获个人信息保护合规审计服务认证证书,确立首批合格供应商池规模（13家）与发证主体，用于供应商资质尽调；文本存档中未含逐家机构名称（原文为图片）。,in_force,audit,audit-certified-institutions-b1-2025-10-21,06-数据分类分级与合规审计.md,
audit-certified-institutions-b1-2025-10-21-procedure-2,procedure,专业机构的认证资质需通过国家认证认可监督管理委员会官方网站（http://www.cnca.gov.cn）自行查验。,具体信息可通过国家认证认可监督管理委员会官方网站,给出可核验的官方查询入口，供应商尽调时应在 cnca.gov.cn 上验证证书真伪与有效期，而非只看机构自称。,in_force,audit,audit-certified-institutions-b1-2025-10-21,06-数据分类分级与合规审计.md,
dpo-reporting-2025-07-18-filing-2,filing,该报送义务的法律依据为《个人信息保护法》第五十二条和《个人信息保护合规审计管理办法》第十二条，未履行报送手续的依照有关法律法规规章处理。,《个人信息保护法》第五十二条、《个人信息保护合规审计管理办法》第十二条规定,给出可引用的条文出处，便于在内部合规意见书中定位处罚依据；公告本身未规定具体罚款金额，仅作转致。,in_force,audit,dpo-reporting-2025-07-18,06-数据分类分级与合规审计.md,
app-notice-2026-06-11-deadline,deadline,被2026年6月11日通报点名的30款App运营者，须自通报发布之日起15个工作日内完成整改并将整改情况书面报送中央网信办。,相关App运营者应当于本通报发布之日起的15个工作日内完成整改，并将整改情况报我办。,"合规官需按通报日(2026-06-11)起算15个工作日的倒排整改期，安排复测并通过通报所载渠道(010-55635865 / appzhili@cac.gov.cn)报送整改报告；逾期或整改不到位将被""会同有关部门核查""并依法处置处罚。",in_force,audit,app-notice-2026-06-11,03-执法案例库.md,
app-notice-2025-05-06-deadline,deadline,被2025年5月6日通报点名的15款App和16款SDK运营者，同样须自通报发布之日起15个工作日内完成整改并报送整改情况。,三、相关App和SDK运营者应当于本通报发布之日起的15个工作日内完成整改,"确认""15个工作日""是两批通报一致的固定整改窗口(非个案),且义务主体明确包含SDK提供方而不止App运营者——SDK厂商必须自建整改与报送流程,不能推给宿主App。",in_force,audit,app-notice-2025-05-06,03-执法案例库.md,
special-action-progress-2026-08-19-penalty,penalty,违法违规问题App/SDK面临的处置后果已升级到下架：专项行动中公开通报1100余款、对400余款采取下架等处置处罚措施。,公开通报1100余款存在违法违规问题的App、SDK，对400余款采取下架等处置处罚措施,"合规官可用""通报1100余款、下架400余款""(约36%被通报者被进一步处置)量化不整改的商业风险，据此把应用商店下架列入风险登记册并提升整改优先级。",in_force,enforcement,special-action-progress-2026-08-19,03-执法案例库.md,
china-pi-report-2025-2026-06-12-3-filing,filing,人脸识别技术应用备案、个人信息保护负责人信息报送已作为监管常态工作推进并已上线支撑系统，处理者须完成相应备案与报送。,有序开展人脸识别技术应用备案、个人信息保护负责人信息报送等工作,"合规官需自查两项行政手续是否已办：一是有人脸识别应用场景的须做技术应用备案，二是须指定并向监管报送个人信息保护负责人信息；官方已上线支撑系统意味着可被后台比对到""未报送""。",in_force,audit,china-pi-report-2025-2026-06-12-3,01-法律法规体系.md,
special-action-progress-2026-08-19-procedure,procedure,个人信息处理规则须明确说明个人信息是否用于广告和用户画像，并须提供个性化广告关闭选项；此为2026年专项行动的专门核查项。,未明确收集个人信息用于广告、用户画像，未提供个性化广告关闭选项等问题,"合规官需逐条比对隐私政策是否写明""用于广告/用户画像""的目的，并在App内提供可用的个性化广告一键关闭开关——该项已对1000余家企业和机构的产品开展核查检测。",in_force,enforcement,special-action-progress-2026-08-19,03-执法案例库.md,
app-notice-2026-06-11-procedure,procedure,2026年6月11日通报第四类为数量最多的一类：14款App未提供有效账号注销功能。,四、匠者、句苗岛等14款App未提供有效账号注销功能（详见下表）。,"账号注销是本批通报的头号高发问题(30款中占14款)，合规官应优先端到端实测注销入口是否可达、是否真正生效(而非仅""提交申请"")。",in_force,enforcement,app-notice-2026-06-11,03-执法案例库.md,
app-notice-2026-06-11-procedure-2,procedure,2026年6月11日通报第一类：7款App未公开个人信息收集使用规则。,一、锐新教育、趣学车等7款App未公开个人信息收集使用规则（详见下表）。,合规官需确认App(含小程序)在显著位置公开可访问的收集使用规则/隐私政策，这是被通报四类问题之一。,in_force,enforcement,app-notice-2026-06-11,03-执法案例库.md,
app-notice-2026-06-11-procedure-3,procedure,2026年6月11日通报第三类：5款App未完整准确列明SDK收集使用个人信息情况。,三、中旅旅行、东融等5款App未完整准确列明SDK收集使用个人信息情况（详见下表）。,"合规官需维护并公示完整的第三方SDK清单(名称、收集的个人信息、目的、方式、范围)，""列了但不完整/不准确""同样被认定为违规。",in_force,enforcement,app-notice-2026-06-11,03-执法案例库.md,
app-notice-2026-06-11-procedure-4,procedure,2026年6月11日通报第二类：4款App频繁索要非必要权限。,二、蓝猫云商、大象优品等4款App频繁索要非必要权限（详见下表）。,"合规官需核查权限申请与业务功能的必要性映射，并限制用户拒绝后的重复弹窗频率——""频繁索要""本身即构成独立违规类型。",in_force,enforcement,app-notice-2026-06-11,03-执法案例库.md,
app-notice-2025-05-06-procedure,procedure,2025年5月6日通报中，16款SDK被认定存在未提供个人信息收集使用规则、未说明如何协助App响应用户权利请求、未及时响应投诉举报等问题。,二、CTP穿透采集、金仕达穿透采集等16款SDK收集使用个人信息,SDK提供方须独立发布自己的个人信息收集使用规则、书面说明协助宿主App响应用户权利请求的措施，并建立投诉举报的及时响应机制——这是直接针对SDK方(非App方)的三项具体义务。,in_force,enforcement,app-notice-2025-05-06,03-执法案例库.md,
app-notice-2026-06-11-procedure-5,procedure,App个人信息通报的执法依据为《网络安全法》《个人信息保护法》《网络数据安全管理条例》《App违法违规收集使用个人信息行为认定方法》。,《网络安全法》《个人信息保护法》《网络数据安全管理条例》《App违法违规收集使用个人信息行为认定方法》,合规官应以这四部文件(尤其《认定方法》的行为清单)作为App自查表的条款映射基准；相较2025年通报，2026年通报的联合发布主体为中央网信办、工业和信息化部、公安部(2025年还含市场监管总局)。,in_force,enforcement,app-notice-2026-06-11,01-法律法规体系.md,
china-pi-report-2025-2026-06-12-3-procedure,procedure,2025年发布9项个人信息保护相关国家标准，其中2项为强制性标准(电子产品信息清除、儿童手表安全管理)，7项为推荐性标准(敏感个人信息处理、个人信息跨境认证、个人信息合规审计等)。,9项个人信息保护相关国家标准发布，其中包括2项强制性标准,合规官需把2项强制性国标纳入必须符合的清单(做电子产品或儿童手表的直接受约束)，其余7项推荐性国标作为敏感信息处理、跨境认证与合规审计的落地依据；注意《报告》仅给出数量口径，未列标准号，采信前需回查标准原文。,in_force,general,china-pi-report-2025-2026-06-12-3,02-国家标准与TC260实践指南.md,
